slug,file_size_kb,date,category,read_time,section_count,word_count,word_richness,eeat_score,ai_risk,total_risk,recommendation
"africa-fastener-market-opportunities-2026",12.9,2026-04-19,Market Analysis,9,7,578,2,2,2,5,KEEP
"algeria-fastener-market-complete-guide",26.6,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"anchor-bolts-foundation-guide",7.1,2026-04-22,Technical Guide,8,6,273,0,2,0,3,KEEP
"anchor-bolts-selection-guide",12.2,2026-04-22,Technical Guide,11,6,426,1,2,0,2,KEEP
"automotive-commercial-vehicle-fasteners",10.2,2026-04-22,Technical Guide,9,5,510,2,2,0,1,KEEP
"bolt-grade-markings-guide",11.3,2026-04-19,Technical Guide,10,7,578,2,2,1,3,KEEP
"bolt-markings-identify-grade",7.0,2026-04-22,Technical Guide,6,6,263,0,2,0,3,KEEP
"botswana-fastener-supplier",6.2,2026-04-26,Regional Supplier,7,4,128,0,2,0,3,KEEP
"bulk-fastener-quantity-discounts",9.9,2026-04-22,Buying Guide,8,5,471,1,2,0,2,KEEP
"cameroon-fastener-market-complete-guide",40.7,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"carriage-bolts-guide",9.4,2026-04-22,Technical Guide,6,6,271,0,2,0,3,KEEP
"carriage-bolts-specifications",13.1,2026-04-22,Technical Guide,8,4,435,1,2,0,2,KEEP
"china-fastener-supplier-price-list-guide",10.9,2026-04-24,Procurement Guide,12,6,549,2,1,0,2,KEEP
"china-iso-9001-fastener-manufacturer-directory",10.0,2026-04-24,Supplier Directory,14,6,553,2,1,0,2,KEEP
"concrete-anchors-fasteners-guide",13.7,2026-04-22,Technical Guide,8,4,454,1,2,0,2,KEEP
"concrete-screws-anchors-guide",7.1,2026-04-22,Technical Guide,6,6,256,0,2,0,3,KEEP
"congo-brazzaville-fastener",5.7,2026-04-26,Regional Supplier,7,4,133,0,2,0,3,KEEP
"construction-fastener-rough-in清单",11.0,2026-04-22,Technical Guide,11,7,679,2,2,0,1,KEEP
"construction-fastener-standards-comparison",13.6,2026-04-22,Technical Guide,9,4,469,1,2,0,2,KEEP
"conveyor-belt-fasteners-tools",10.6,2026-04-22,Technical Guide,9,6,549,2,2,0,1,KEEP
"din-iso-fastener-standards-guide",10.5,2026-04-22,Technical Guide,11,7,342,1,2,1,4,KEEP
"drc-diamond-mining-fasteners",6.7,2026-04-26,Regional Supplier,8,4,151,0,2,0,3,KEEP
"durban-fastener-supplier",7.6,2026-04-26,Regional Supplier,8,4,214,0,2,0,3,KEEP
"east-africa-construction-fastener-market",9.7,2026-04-22,Market Analysis,10,6,603,2,1,0,2,KEEP
"egypt-fastener-market-complete-guide",26.3,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"ethiopia-fastener-market-complete-guide",26.7,2026-04-26,Market Analysis,8,5,257,0,2,1,5,REWRITE
"fastener-corrosion-resistance-guide",17.5,2026-04-22,Technical Guide,10,5,704,2,2,1,3,KEEP
"fastener-export-china-to-africa-guide",8.9,2026-04-24,Logistics Guide,12,5,501,2,0,0,3,KEEP
"fastener-glossary-africa-procurement",7.0,2026-04-22,Procurement Guide,8,6,236,0,2,0,3,KEEP
"fastener-quality-control-iso9001",12.0,2026-04-24,Quality Standards,9,7,405,1,2,1,4,KEEP
"fastener-selection-guide-african-construction",12.3,2026-04-23,Technical Guide,12,7,535,2,0,0,3,KEEP
"fastener-supplier-verification-checklist",10.1,2026-04-24,Procurement Guide,15,6,516,2,1,0,2,KEEP
"fastener-testing-quality-certification",11.2,2026-04-22,Technical Guide,10,6,622,2,2,0,1,KEEP
"fender-washers-simplate-washers",9.7,2026-04-22,Technical Guide,8,7,531,2,2,0,1,KEEP
"flat-washers-vs-spring-washers",13.4,2026-04-22,Product Comparison,8,4,488,1,2,0,2,KEEP
"frp-grp-composite-fasteners",9.2,2026-04-22,Technical Guide,9,5,486,1,2,0,2,KEEP
"galvanic-corrosion-fastener-selection",11.4,2026-04-22,Technical Guide,9,6,638,2,2,0,1,KEEP
"galvanized-vs-stainless-steel-fasteners",11.6,2026-04-21,Technical Guide,10,8,432,1,2,1,4,KEEP
"ghana-building-materials",7.4,2026-04-26,Regional Supplier,7,4,223,0,2,0,3,KEEP
"hex-bolt-dimensions-chart",12.6,2026-04-21,Technical Guide,10,7,509,2,2,1,3,KEEP
"hex-nuts-selection-guide",7.4,2026-04-22,Technical Guide,7,6,216,0,2,0,3,KEEP
"high-tensile-bolts-grade-guide",6.9,2026-04-22,Technical Guide,7,6,254,0,2,0,3,KEEP
"high-tensile-structural-bolts-guide",9.5,2026-04-22,Technical Guide,12,6,347,1,2,0,2,KEEP
"ibr-roofing-nails-installation-guide",12.9,2026-04-19,Technical Guide,11,9,519,2,2,1,3,KEEP
"ivory-coast-fastener-market-complete-guide",27.2,2026-04-26,Market Analysis,8,5,259,0,2,1,5,REWRITE
"lag-screws-timber-connections",10.9,2026-04-22,Technical Guide,10,7,472,1,2,1,4,KEEP
"lagos-industrial-fasteners",8.4,2026-04-26,Regional Supplier,8,4,247,0,2,0,3,KEEP
"lock-nuts-nyloc-self-locking",9.5,2026-04-22,Technical Guide,9,6,399,1,2,0,2,KEEP
"lock-nuts-selflocking-nuts-guide",7.0,2026-04-22,Technical Guide,6,6,229,0,2,0,3,KEEP
"machine-screws-specifications",6.9,2026-04-22,Technical Guide,6,6,235,0,2,0,3,KEEP
"mining-equipment-fasteners-zambia-southafrica",10.5,2026-04-22,Market Analysis,11,6,569,2,1,0,2,KEEP
"mombasa-port-fasteners",7.0,2026-04-26,Regional Supplier,7,4,210,0,2,0,3,KEEP
"morocco-fastener-market-complete-guide",26.6,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"mozambique-hardware-supplier",7.8,2026-04-26,Regional Supplier,8,4,123,0,2,0,3,KEEP
"nairobi-construction-hardware",7.8,2026-04-26,Regional Supplier,8,4,211,0,2,0,3,KEEP
"nuts-bolts-glossary-terminology",11.9,2026-04-22,Technical Guide,10,6,503,2,2,1,3,KEEP
"nylon-nuts-bolts-guide",13.9,2026-04-22,Technical Guide,8,4,487,1,2,0,2,KEEP
"rivets-blind-rivet-nut-guide",10.0,2026-04-22,Technical Guide,9,6,468,1,2,0,2,KEEP
"roofing-screws-epdm-washer-guide",13.0,2026-04-22,Installation Guide,8,4,467,1,2,0,2,KEEP
"self-drilling-screws-selection-guide",10.4,2026-04-19,Technical Guide,12,8,479,1,2,1,4,KEEP
"self-tapping-screws-guide",7.1,2026-04-22,Technical Guide,7,6,266,0,2,0,3,KEEP
"self-tapping-sheet-metal-screws",9.5,2026-04-22,Technical Guide,9,6,527,2,2,0,1,KEEP
"senegal-fastener-market-complete-guide",26.6,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"set-screws-dowel-pins-guide",11.4,2026-04-22,Technical Guide,8,5,559,2,2,0,1,KEEP
"socket-head-cap-screws-guide",10.3,2026-04-22,Technical Guide,9,6,471,1,2,0,2,KEEP
"solar-panel-mounting-fasteners",10.8,2026-04-22,Technical Guide,10,6,513,2,2,0,1,KEEP
"south africa-fasteners-china-import-guide",17.0,2026-04-26,Import Guide,10,4,279,0,2,0,3,KEEP
"southern-africa-fastener-market-southafrica-botswana",10.1,2026-04-22,Market Analysis,10,6,650,2,1,0,2,KEEP
"stainless-steel-bolts-africa-guide",6.1,2026-04-22,Technical Guide,8,5,284,0,2,0,3,KEEP
"stainless-steel-fasteners-304-316",9.5,2026-04-22,Technical Guide,10,6,384,1,2,0,2,KEEP
"structural-steel-connection-fasteners",10.4,2026-04-22,Technical Guide,11,6,641,2,1,0,2,KEEP
"tanzania-fastener-market-complete-guide",26.7,2026-04-26,Market Analysis,8,5,259,0,2,1,5,REWRITE
"telecom-tower-fasteners",9.8,2026-04-22,Technical Guide,9,6,531,2,1,0,2,KEEP
"thread-types-guide-metric-imperial",13.5,2026-04-22,Technical Guide,8,4,462,1,2,0,2,KEEP
"threaded-rod-studding-guide",9.4,2026-04-22,Technical Guide,9,6,443,1,2,0,2,KEEP
"threaded-rods-fasteners-guide",7.1,2026-04-22,Technical Guide,6,6,243,0,2,0,3,KEEP
"timber-screws-construction-guide",7.0,2026-04-22,Technical Guide,6,6,242,0,2,0,3,KEEP
"torque-tensioning-critical-fasteners",11.3,2026-04-22,Technical Guide,10,6,634,2,2,0,1,KEEP
"u-bolts-pipe-clamps-guide",6.9,2026-04-22,Technical Guide,6,6,235,0,2,0,3,KEEP
"washer-types-applications",9.1,2026-04-22,Technical Guide,6,6,220,0,2,0,3,KEEP
"agrifastener-water-infrastructure",11.1,2026-04-22,Market Analysis,10,6,637,2,1,0,2,KEEP
"zambia-fastener-supplier",6.4,2026-04-26,Regional Supplier,8,4,139,0,2,0,3,KEEP
"zimbabwe-construction-fastener-market",10.7,2026-04-22,Market Analysis,10,6,631,2,1,0,2,KEEP
"zimbabwe-fastener-supplier",8.1,2026-04-26,Regional Supplier,8,4,147,0,2,0,3,KEEP
"zinc-plated-vs-black-phosphate-screws",12.9,2026-04-22,Product Comparison,8,4,462,1,2,0,2,KEEP
